id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,bayesaverage,complexity,yearpublished
232830,Shifty Eyed Spies,4.0,8.0,20.0,20.0,9.0,5.80207,1.1667,2017
9139,Marco Polo Expedition,2.0,5.0,45.0,45.0,8.0,5.67294,1.8049,2004
173105,The Great War,2.0,2.0,60.0,60.0,0.0,6.05559,2.7018,2015
266064,Trudvang Legends,1.0,4.0,60.0,60.0,14.0,5.81332,2.4667,2022
287952,Unstable Unicorns: NSFW Base Game,2.0,8.0,30.0,45.0,21.0,5.69253,1.5455,2019
21955,Treehouse,2.0,4.0,20.0,20.0,8.0,5.5683,1.3125,2006
2555,Vom Kap bis Kairo,2.0,4.0,30.0,30.0,10.0,5.71002,1.8,2001
10659,Hex Hex,3.0,6.0,30.0,30.0,12.0,5.57066,1.2892,2003
278297,Choose Your Own Adventure: War with the Evil Power Master,1.0,99.0,60.0,60.0,10.0,5.62763,1.4167,2019
181329,Duos,3.0,6.0,30.0,30.0,8.0,5.90158,1.35,2015
4475,Unexpected Treasures,3.0,6.0,30.0,30.0,13.0,5.68753,1.3208,2002
152757,Doodle Quest,1.0,4.0,15.0,15.0,6.0,5.81905,1.087,2014
548,Buck Rogers: Battle for the 25th Century Game,2.0,6.0,120.0,120.0,10.0,5.7342,2.6757,1988
283718,Deckscape: The Curse of the Sphinx,1.0,6.0,30.0,90.0,12.0,5.64199,1.75,2019
135,Kontor,2.0,4.0,60.0,60.0,12.0,5.61597,2.1951,1999
319971,Monster Hunter World: The Board Game,1.0,4.0,60.0,90.0,14.0,5.97794,2.8621,2023
341919,Magic Mountain,2.0,6.0,15.0,15.0,5.0,5.85134,1.0,2021
345088,Founders of Teotihuacan,1.0,4.0,45.0,60.0,14.0,5.84706,2.8158,2022
257733,Fine Sand,1.0,4.0,30.0,30.0,10.0,5.79638,2.0,2018
233973,Huns,2.0,4.0,30.0,45.0,14.0,5.77404,2.0857,2018
3337,Double Down,2.0,8.0,30.0,30.0,8.0,5.52454,1.0541,1993
227893,Smile,3.0,5.0,30.0,30.0,8.0,5.77729,1.0833,2017
6657,Such a Thing?,2.0,8.0,30.0,30.0,10.0,5.66481,1.2143,1989
229598,Unlock!: Short Adventures – Doo-Arann's Dungeon,2.0,6.0,30.0,30.0,10.0,5.78896,1.9231,2022
4753,King's Gate,2.0,4.0,20.0,40.0,9.0,5.67605,2.0446,2002
34375,Go Nuts!,2.0,4.0,15.0,15.0,8.0,5.72747,1.0545,2008
308762,Mystic Vale: Essential Edition,2.0,4.0,45.0,60.0,14.0,6.10481,2.3636,2020
434172,Excalibur,2.0,8.0,15.0,25.0,14.0,5.95885,1.1667,2026
367086,Dragons of Etchinstone,1.0,1.0,20.0,30.0,8.0,6.10177,2.4359,2022
111173,Little Devils,3.0,6.0,15.0,15.0,8.0,5.67114,1.3488,2012
67593,Die Säulen der Erde: das Kartenspiel,3.0,4.0,60.0,60.0,10.0,5.67815,2.1091,2010
283642,Cowboy Bebop: Space Serenade,1.0,4.0,30.0,90.0,14.0,5.93964,2.3462,2019
183315,Tetrarchia,1.0,5.0,20.0,40.0,10.0,5.99879,2.2292,2015
109969,Mutant Meeples,2.0,7.0,45.0,45.0,8.0,5.78553,2.4375,2012
13293,Vs System,2.0,2.0,15.0,15.0,10.0,5.8104,2.6027,2004
224271,Yogi,3.0,12.0,15.0,20.0,8.0,5.69135,1.2105,2017
508,Blue Max,2.0,6.0,60.0,60.0,13.0,5.9191,2.2745,1983
46782,Rush n' Crush,3.0,6.0,60.0,60.0,12.0,5.69288,2.2075,2009
145012,Sultaniya,2.0,4.0,45.0,45.0,8.0,5.76278,2.025,2014
314530,Iwari: Deluxe Edition,1.0,6.0,45.0,45.0,14.0,6.06477,2.4286,2020
311731,Freedom Five: A Sentinel Comics Board Game,1.0,5.0,90.0,240.0,14.0,6.06344,2.92,2024
227545,Spy Club,2.0,4.0,45.0,45.0,10.0,5.86692,2.1304,2018
369899,Big Top,3.0,4.0,40.0,40.0,11.0,5.89883,1.8947,2023
194,Groo: The Game,2.0,4.0,45.0,45.0,10.0,5.68483,1.4865,1997
191301,The Walking Dead: All Out War,1.0,2.0,30.0,60.0,14.0,5.98166,2.7778,2016
1800,Mythos,1.0,10.0,45.0,45.0,10.0,5.77797,2.5556,1996
332015,Fast & Furious: Highway Heist,2.0,4.0,60.0,60.0,12.0,5.86006,2.6818,2021
284429,Paris: New Eden,2.0,4.0,45.0,45.0,10.0,5.82347,2.1935,2019
21133,Infinity N3: Core Book,2.0,2.0,90.0,120.0,12.0,6.11035,3.9208,2005
258412,Unlock!: Exotic Adventures – Night of the Boogeymen,1.0,6.0,60.0,60.0,10.0,5.82795,1.9167,2019
197320,A Handful of Stars,2.0,4.0,90.0,120.0,13.0,5.94944,3.0286,2017
247104,Blitz Bowl,2.0,2.0,30.0,60.0,8.0,6.0448,2.1739,2018
56885,The Werewolves of Miller's Hollow: The Village,8.0,18.0,30.0,30.0,8.0,5.85093,1.6944,2009
162388,BattleCON: Fate of Indines,2.0,2.0,30.0,60.0,10.0,6.07172,3.2593,2015
338069,Spire's End: Hildegard,1.0,2.0,30.0,180.0,12.0,5.97334,1.7308,2022
275802,Carnival Zombie: 2nd Edition,1.0,6.0,45.0,120.0,12.0,5.97135,3.3,2022
247417,Solomon Kane,1.0,5.0,60.0,120.0,0.0,5.97872,3.069,2021
282765,Mint Cooperative,1.0,4.0,15.0,30.0,14.0,5.62284,1.95,2020
418354,Babylon,2.0,4.0,40.0,60.0,8.0,5.89553,1.8438,2024
352596,Ancient Realm,1.0,1.0,15.0,15.0,8.0,5.95125,2.1515,2023
129731,DreadBall: The Futuristic Sports Game,2.0,2.0,90.0,90.0,14.0,5.91942,2.8659,2012
607,Honor of the Samurai,3.0,6.0,60.0,60.0,10.0,5.5945,2.191,1996
248584,Pantone: The Game,2.0,20.0,10.0,20.0,8.0,5.70425,1.0909,2018
245136,Bluff Jubiläumsausgabe,2.0,6.0,30.0,30.0,10.0,5.81735,1.0938,2017
3394,Monopoly: The Simpsons,2.0,6.0,120.0,120.0,8.0,5.38531,1.5778,2001
293264,Monsters on Board,1.0,4.0,45.0,60.0,12.0,6.01241,2.8372,2022
34010,Journey to the Center of the Earth,2.0,4.0,60.0,60.0,10.0,5.69172,2.029,2008
258411,Unlock!: Exotic Adventures – Expedition: Challenger,1.0,6.0,60.0,60.0,10.0,5.80286,2.7778,2019
219232,Ilôs,2.0,5.0,20.0,40.0,10.0,5.79731,2.0,2017
300329,Harry Potter Strike Dice Game,2.0,5.0,15.0,15.0,8.0,5.79308,1.0769,2020
1748,A Question of Scruples,4.0,12.0,60.0,60.0,18.0,5.29321,1.375,1984
334,Advance to Boardwalk,2.0,4.0,60.0,60.0,8.0,5.46928,1.5342,1985
415036,Medical Mysteries: NYC Emergency Room,1.0,4.0,30.0,60.0,14.0,6.03694,2.1429,2024
256883,Comanauts,2.0,4.0,90.0,120.0,14.0,5.69261,2.6667,2019
264196,Dungeons & Dragons: Waterdeep – Dungeon of the Mad Mage Board Game,1.0,5.0,60.0,60.0,14.0,5.96455,2.3966,2019
275969,Flotilla,3.0,5.0,90.0,150.0,14.0,5.93562,3.8182,2019
